unit,units
SCR,SCR
SDG,SDG
Second,Second
Seconds,Seconds
SEK,SEK
Sen,Sen
Sene,Sene
Seniti,Seniti
Sente,Sente
Sentimo,Sentimo
Serbian dinar,Serbian dinar
Seychellois rupee,Seychellois rupee
Seychellois rupees,Seychellois rupees
SGD,SGD
SHP,SHP
Siemens,Siemens
Sierra Leonean leone,Sierra Leonean leone
Singapore dollar,Singapore dollar
Singapore dollars,Singapore dollars
SLE,SLE
Slug,Slug
sm,sm
Solomon Islands dollar,Solomon Islands dollar
Solomon Islands dollars,Solomon Islands dollars
Somali shilling,Somali shilling
Somaliland shilling,Somaliland shilling
SOS,SOS
South African rand,South African rand
South Korean won,South Korean won
South Sudanese pound,South Sudanese pound
South Sudanese pounds,South Sudanese pounds
sq mi ,sq mi 
sqm ,sqm 
Square feet,Square feet
Square inch,Square inch
square inches,square inches
Square yard,Square yard
Square yards,Square yards
SRD,SRD
Sri Lankan rupee,Sri Lankan rupee
Sri Lankan rupees,Sri Lankan rupees
SSP,SSP
Steradian,Steradian
Sterling,Sterling
STN,STN
Stotinka,Stotinka
Sudanese pound,Sudanese pound
Sudanese pounds,Sudanese pounds
Surinamese dollar,Surinamese dollar
Surinamese dollars,Surinamese dollars
Swazi lilangeni,Swazi lilangeni
Swedish krona,Swedish krona
Swiss franc,Swiss franc
Swiss francs,Swiss francs
SYP,SYP
Syrian pound,Syrian pound
Syrian pounds,Syrian pounds
SZL,SZL
Tablespoon,Tablespoon
Tablespoons,Tablespoons
Tajikistani somoni,Tajikistani somoni
Tambala,Tambala
Tanzanian shilling,Tanzanian shilling
TB,TB
TBs,TBs
tbsp,tbsp
Teaspoon,Teaspoon
Tenge,Tenge
Terabyte,Terabyte
Terabytes,Terabytes
Tesla,Tesla
Tetri,Tetri
Tex,Tex
Thai baht,Thai baht
THB,THB
Thebe,Thebe
Tiyin,Tiyin
TJS,TJS
TMT,TMT
TND,TND
Toea,Toea
Ton,Ton
Tonne,Tonne
TOP,TOP
Transnistrian ruble,Transnistrian ruble
Transnistrian rubles,Transnistrian rubles
Trinidad and Tobago dollar,Trinidad and Tobago dollar
Trinidad and Tobago dollars,Trinidad and Tobago dollars
TRY,TRY
tsp,tsp
TTD,TTD
Tunisian dinar,Tunisian dinar
Turkish lira,Turkish lira
Turkmenistani manat,Turkmenistani manat
Tuvaluan dollar,Tuvaluan dollar
Tuvaluan dollars,Tuvaluan dollars
TWD,TWD
Tyiyn,Tyiyn
TZS,TZS
UAH,UAH
Ugandan shilling,Ugandan shilling
Ugandan shillings,Ugandan shillings
UGX,UGX
Ukrainian hryvnia,Ukrainian hryvnia
United Arab Emirates dirham,United Arab Emirates dirham
United States dollar,United States dollar
United States dollars,United States dollars
Uruguayan peso,Uruguayan peso
Uruguayan pesos,Uruguayan pesos
USD,USD
UYU,UYU
Uzbekistani soum,Uzbekistani soum
UZS,UZS
V,V
Vanuatu vatu,Vanuatu vatu
VED,VED
Venezuelan digital bolívar,Venezuelan digital bolívar
Venezuelan sovereign bolívar,Venezuelan sovereign bolívar
VES,VES
Vietnamese dong,Vietnamese dong
VND,VND
Volt,Volt
Volts,Volts
VUV,VUV
w,w
Watt,Watt
watts,watts
Wb,Wb
Weber,Weber
week,week
weeks,weeks
West African CFA franc,West African CFA franc
West African CFA francs,West African CFA francs
WST,WST
XAF,XAF
XCD,XCD
XOF,XOF
XPF,XPF
Yard,Yard
YB,YB
yd,yd
yd2,yd2
yd3,yd3
Year,Year
Yemeni rial,Yemeni rial
YER,YER
Yottabyte,Yottabyte
Yottabytes,Yottabytes
Zambian kwacha,Zambian kwacha
ZAR,ZAR
ZB,ZB
Zettabyte,Zettabyte
Zettabytes,Zettabytes
ZMW,ZMW
